Variety	Field I PCo1	Field I shannon_e	Field I Tiller	Field II PCo1	Field II shannon_e	Field II Tiller
MC001	-0.034469965	5.788895758	14	0.093637367	6.355923557	30
MC002	-0.07154745	5.254646968	11.16666667	0.084600147	6.07299234	23.33
MC003	-0.080675793	4.984407155	10.83333333	-0.096690526	5.789950444	21.67
MC004	0.063256132	6.07487738	22	0.081219908	6.202878687	44
MC005	-0.050940003	5.48053097	11.16666667	0.034345142	6.413126407	21.67
MC006	-0.042575684	5.374675102	9.833333333	-0.075388802	6.014507348	24.67
MC007	-0.042624545	5.504574501	9.166666667	-0.087286393	6.037156419	19.67
MC008	0.15980541	6.439333675	19.16666667	0.202567268	6.503539421	34.33
MC009	-0.040400523	5.402019727	11	-0.118825703	5.755936791	20.67
MC010	-1.69E-05	5.83320598	18.83333333	0.152998362	6.343363666	37.5
MC011	0.052955237	5.571321653	8.666666667	-0.127750499	5.84492482	15.33
MC012	-0.176613578	4.463585813	12.5	-0.135301959	5.569747034	23.83
MC013	-0.261957236	4.114503817	11.33333333	-0.237174395	4.897914618	24.67
MC014	0.093961203	5.649915433	9.333333333	-0.208029822	5.149646754	22.5
MC015	-0.056855715	4.892238565	15.5	-0.044736114	6.449135899	29
MC016	0.137897087	5.819728289	13.33333333	-0.060579153	6.213319642	21.17
MC017	-0.009801537	6.025514058	8.5	0.127298739	6.981819151	18.67
MC018	0.259855979	6.247217467	17.16666667	0.166719741	6.511506871	32.5
MC019	0.232058178	6.16276617	11.25	0.05406776	6.099874207	19.5
MC020	-0.190682201	4.661317676	10.16666667	-0.109069028	5.470724327	23.17
MC021	-0.037026692	5.513264316	6.666666667	0.029941782	5.863460986	17.83
MC022	-0.057875595	5.455460095	8.166666667	0.002484112	5.914739147	20.33
MC023	0.015669254	5.394237181	18.66666667	0.013175746	6.179590609	31.5
MC024	-0.008332227	5.861989451	15	-0.181867488	5.527633843	29.83
MC025	-0.0636246	5.019940933	17.33333333	-0.093278108	5.91526725	30.17
MC026	-0.066249491	4.640824065	12	-0.1844267	5.085670294	18.33
MC027	-0.180006383	4.715195154	9.166666667	-0.071397863	5.601293762	21.33
MC028	0.036562133	5.674151752	10.83333333	-0.130742404	5.820640144	23.67
MC029	0.10597925	6.056726094	13.66666667	-0.005140888	6.43071577	21.33
MC030	0.019720927	5.832661408	7.333333333	0.016513532	6.675781538	18.17
MC031	-0.006933871	5.391979756	10.5	-0.046905966	6.270375148	20.17
MC032	-0.010255508	5.982654031	10.83333333	0.06713036	6.306096243	22
MC033	-0.104824764	5.096418073	9	-0.203865299	5.763972257	16.83
MC034	0.162535199	5.915118036	20.83333333	0.166662339	6.660135444	37.17
MC035	0.112380447	5.799031435	13.66666667	0.010484714	6.319699904	25.17
MC036	0.190187223	6.090200302	21.16666667	0.088345051	6.333839845	36.17
MC037	0.153881753	5.852212501	15.5	0.128403825	6.279375713	26.5
MC039	0.059548213	5.795838309	11.33333333	0.191806847	6.560711249	23.67
MC040	0.029691061	5.573879751	16	-0.083623813	5.533810822	25.33
MC041	0.207281538	6.595614129	22.5	0.18158155	6.912164628	39.33
MC042	0.051429067	6.214773547	20.66666667	0.190720515	6.612666599	30.5
MC043	0.247573059	6.245785106	22.33333333	0.181812491	6.56219734	35.5
MC044	-0.02637597	5.577249947	10.33333333	0.055363155	6.08632172	21.5
MC045	0.158556775	6.390231367	26	0.144214156	6.870515693	41.17
MC046	0.09514044	6.362267716	15.16666667	0.128543673	6.583366411	24.67
MC047	0.075229827	6.332530094	15.5	0.140338443	6.632179404	36.67
MC048	0.192400092	6.419836314	14.5	0.215412261	6.268956877	22
MC049	0.168887673	6.394369877	17.83333333	0.134092612	6.249942305	27.17
MC050	0.0898993	6.400878578	15.5	0.102600877	6.267067193	30
MC051	-0.034939151	5.768905429	15.5	0.084278792	6.465878729	26.5
MC052	0.06788691	5.858059437	13.66666667	0.055598792	6.23931923	26.83
MC053	0.011379738	5.910903608	15	0.135939326	6.032657875	27.33
MC054	-0.012409066	6.053409108	14.5	0.072498682	6.153150974	32.33
MC055	0.09269935	6.30928638	10.16666667	0.10809384	6.368274002	23.5
MC056	0.115174943	6.389195621	21	0.224040355	6.673951759	31.2
