Dimensions	Genotype	Microbiota in field I	Microbiota in field II
1	19.57535113	22.30210364	16.98801553
2	13.67054525	12.06085972	12.02124787
3	2.8339277	9.593217533	6.923361751
4	2.377315203	4.531580534	4.44383061
5	2.069329034	3.212175407	3.530595238
6	2.015996633	2.939506568	3.110830017
7	1.57528523	2.780873832	2.622249675
8	1.475337459	2.601665574	2.099969662
9	1.392925396	2.315035217	1.924399831
10	1.087763402	2.093948709	1.788644685
11	1.034870561	1.756309245	1.700769077
12	0.999763429	1.666389479	1.62642782
13	0.930464	1.48200756	1.460657658
14	0.868120612	1.375118755	1.313112912
15	0.85017831	1.261481093	1.267213884
16	0.775126135	1.220913417	1.1990129
17	0.739573949	1.108481284	1.087226021
18	0.723192085	0.99619297	1.048776944
19	0.708659123	0.962842416	0.987146918
20	0.692925611	0.862223212	0.976858583
21	0.683167372	0.830421877	0.922962304
22	0.64793112	0.824389952	0.829251114
23	0.632351454	0.770485705	0.825612058
24	0.622999809	0.741478206	0.808224399
25	0.619186623	0.717252582	0.768706904
26	0.600208607	0.694844587	0.764332633
27	0.585230589	0.661003204	0.744875285
28	0.577197625	0.64452117	0.689395782
29	0.570211363	0.611138194	0.678731558
30	0.568458616	0.593262339	0.625472647
31	0.565002574	0.565084566	0.622633582
32	0.551483347	0.546309817	0.60560253
33	0.543977855	0.512082368	0.587270991
34	0.531653683	0.508491164	0.569347691
35	0.525650937	0.495594968	0.559038799
36	0.514288303	0.469657877	0.54709396
37	0.507288306	0.455404084	0.525742516
38	0.500461385	0.447595051	0.521357468
39	0.490950399	0.436937558	0.495958463
40	0.483991609	0.420523097	0.473546458
41	0.478876226	0.413992163	0.468469308
42	0.475686667	0.398544103	0.462436515
43	0.466324032	0.382182665	0.454110264
44	0.455774585	0.375502497	0.444355214
45	0.452508103	0.370826807	0.436860938
46	0.449087774	0.360536361	0.421268364
47	0.445145468	0.34582232	0.408929263
48	0.440601513	0.340580539	0.398156466
49	0.432373493	0.329294795	0.397045556
50	0.427079539	0.325025619	0.380109527
51	0.425090529	0.319633532	0.373050004
52	0.417422949	0.304950901	0.36870826
53	0.414601521	0.298265596	0.359921703
54	0.41093394	0.294147298	0.350821742
55	0.403436689	0.292250652	0.346721735
56	0.401090536	0.279740181	0.341142355
57	0.399085042	0.275990963	0.334874166
58	0.396881746	0.270193723	0.332040373
59	0.394563066	0.261280024	0.322260386
60	0.392236143	0.252562453	0.312246483
61	0.383813069	0.249000395	0.308602803
62	0.376947686	0.246775199	0.300392469
63	0.374321314	0.244417206	0.293900163
64	0.37134604	0.230529418	0.286632117
65	0.367782854	0.227971864	0.274554412
66	0.36538725	0.221356305	0.269730791
67	0.358357033	0.217945815	0.265676547
68	0.356758132	0.211907957	0.263196384
69	0.351609782	0.207906421	0.259448354
70	0.349645497	0.203126086	0.257027254
71	0.346247146	0.196821752	0.251373489
72	0.344172971	0.19433717	0.246887349
73	0.336879017	0.187291901	0.242323244
74	0.334650996	0.183687255	0.23638191
75	0.332071327	0.180326334	0.233348875
